"Stec ID","Trace ID"
"132661","P,T"
"132665","P,T"
"132666","P,T"
"132667","P,T"
"132668","P,T"
"132669","P,T"
"132670","P,T"
"132671","P,T"
"132672","P,T"
"132673","P,T"
"132678","P,T"
"132679","P,T"
"132680","P,T"
"132688","P,T"
"132703","P,T"
"132770","P,T"
"132824","P,T"
"132975","P,T"
"132979","P,T"
"133083","P,T"
"133085","P,T"
"133176","P,T"
"133177","P,T"
"133178","P,T"
"133290","P,T"
"133425","P,T"
"133532","P,T"
"132662","P,T"
"132663","P,T"
"132674","P,T"
"132675","P,T"
"132676","P,T"
"132677","P,T"
"132681","P,T"
"132682","P,T"
"132683","P,T"
"132684","P,T"
"132685","P,T"
"132700","P,T"
"132701","P,T"
"132702","P,T"
"132704","P,T"
"132705","P,T"
"132716","P,T"
"132720","P,T"
"132721","P,T"
"132722","P,T"
"132723","P,T"
"132724","P,T"
"132725","P,T"
"132734","P,T"
"132735","P,T"
"132771","P,T"
"132772","P,T"
"132777","P,T"
"132784","P,T"
"132785","P,T"
"132786","P,T"
"132787","P,T"
"132793","P,T"
"132795","P,T"
"132806","P,T"
"132807","P,T"
"132825","P,T"
"132826","P,T"
"132831","P,T"
"132832","P,T"
"133086","P,T"
"133087","P,T"
"133088","P,T"
"133089","P,T"
"133179","P,T"
"133180","P,T"
"133181","P,T"
"133182","P,T"
"133183","P,T"
"133184","P,T"
"133280","P,T"
"133292","P,T"
"133409","P,T"
"133410","P,T"
"133411","P,T"
"133485","P,T"
"132691","P,T"
"132692","P,T"
"132693","P,T"
"132694","P,T"
"132706","P,T"
"132707","P,T"
"132708","P,T"
"132709","P,T"
"132710","P,T"
"132711","P,T"
"132717","P,T"
"132718","P,T"
"132719","P,T"
"132726","P,T"
"132727","P,T"
"132728","P,T"
"132729","P,T"
"132730","P,T"
"132731","P,T"
"132732","P,T"
"132736","P,T"
"132759","P,T"
"132773","P,T"
"132774","P,T"
"132783","P,T"
"132788","P,T"
"132808","P,T"
"132820","P,T"
"132827","P,T"
"132852","P,T"
"132937","P,T"
"132978","P,T"
"132980","P,T"
"133185","P,T"
"133186","P,T"
"133187","P,T"
"133188","P,T"
"133189","P,T"
"133190","P,T"
"133191","P,T"
"133192","P,T"
"133293","P,T"
"133412","P,T"
"133413","P,T"
"133533","P,T"
"133534","P,T"
"133536","P,T"
"132712","P,T"
"132713","P,T"
"132714","P,T"
"132715","P,T"
"132733","P,T"
"132739","P,T"
"132740","P,T"
"132741","P,T"
"132775","P,T"
"132778","P,T"
"132779","P,T"
"132780","P,T"
"132781","P,T"
"132789","P,T"
"132790","P,T"
"132791","P,T"
"132792","P,T"
"132796","P,T"
"132815","P,T"
"132816","P,T"
"132817","P,T"
"132821","P,T"
"132848","P,T"
"132849","P,T"
"132850","P,T"
"132860","P,T"
"132960","P,T"
"132961","P,T"
"132962","P,T"
"132967","P,T"
"132968","P,T"
"132969","P,T"
"132971","P,T"
"132981","P,T"
"132982","P,T"
"133045","P,T"
"133090","P,T"
"133193","P,T"
"133194","P,T"
"133195","P,T"
"133196","P,T"
"133197","P,T"
"133294","P,T"
"133414","P,T"
"133535","P,T"
"133537","P,T"
"132810","P,T"
"132833","P,T"
"132834","P,T"
"132835","P,T"
"132846","P,T"
"132847","P,T"
"132851","P,T"
"132861","P,T"
"132862","P,T"
"132863","P,T"
"132864","P,T"
"132865","P,T"
"132866","P,T"
"132884","P,T"
"132885","P,T"
"132886","P,T"
"132887","P,T"
"132899","P,T"
"132900","P,T"
"132901","P,T"
"132902","P,T"
"132903","P,T"
"132944","P,T"
"132953","P,T"
"132954","P,T"
"133021","P,T"
"133080","P,T"
"133081","P,T"
"133295","P,T"
"133306","P,T"
"133346","P,T"
"133538","P,T"
"134369","P,T"
"134370","P,T"
"134371","P,T"
"134372","P,T"
"134373","P,T"
"134374","P,T"
"132836","P,T"
"132837","P,T"
"132838","P,T"
"132839","P,T"
"132840","P,T"
"132841","P,T"
"132842","P,T"
"132843","P,T"
"132844","P,T"
"132867","P,T"
"132868","P,T"
"132869","P,T"
"132870","P,T"
